index,genres,keywords,tagline,title,cast,director
6907,"Comedy, Drama, Musical",A poor girl is rebuked by a rich boy. She leaves town to return successful and rich. He falls for her but his brother is already in love with the girl.,,Yeh Dillagi,"Kajol, Akshay Kumar, Saif Ali Khan, Saeed Jaffrey",Naresh Malhotra
6908,"Crime, Drama",Three bachelors used to stay in a row house. They are fond of illegal activities One of the bachelor takes revenge to other flatmates for Her family past. Her neighbour and family members end up saving her for her innocent revenge.,,Suspect,"Pritesh Bharucha, Mousumi Das, Kanika Gaba, Neeraj Gurjar","Sudhir Tandel, Prakash Vora"
6909,"Romance, Thriller","Kumar Sen is an artist of eminence, a talented painter, and a renowned sculptor; and like the majority of his clan, he has a sensitive introvert. But no artist can achieve any degree of ...                See full summary »",,Parwana,"Navin Nischol, Amitabh Bachchan, Yogeeta Bali, Om Prakash",Jyoti Swaroop
6910,Thriller,A lone divorcee sets the race against time to search for the person that shattered her life.,,#Mute,"Archana Jois, Sidhaartha Maadhyamika, Aadukalam Naren, Tejus Venkatesh",Prashantt Chandraah
6911,"Action, Drama",A fearless woman fights social injustice; creating a sanctuary for abused women and battling a crooked politician.,,Gulaab Gang,"Madhuri Dixit, Juhi Chawla, Divya Jagdale, Priyanka Bose",Soumik Sen
6912,"Drama, Romance, Thriller",Lalita (Madhuri Dixit) catches the eye of J.B. (Raj Babbar) and he immediately falls in love with her and decides he must marry her. He bribes Lalita's uncle Madanlal (Tej Sapru) into ...                See full summary »,,Yaraana,"Rishi Kapoor, Madhuri Dixit, Raj Babbar, Kader Khan",David Dhawan
6913,"Action, Comedy, Drama",Guru Ji is a social reformer who works to help people fight against social evils.,,MSG: The Messenger of God,"Gurmeet Ram Rahim Singh, Daniel Kaleb, Flora Saini, Jayshree Soni","Jeetu Arora, Gurmeet Ram Rahim Singh"
6914, ,Plot under wraps.,,Kaantha,Dulquer Salmaan,Selvamani Selvaraj
6915,"Drama, Fantasy, Horror","A multi-millionaire, Ram Khanna, is advised by a fake astrologer that he will meet and marry a woman whose name will start with ""M"". Ram does meet Mamta, and they both fall in love. Ram ...                See full summary »",,Maa,"Jeetendra, Jaya Prada, Aruna Irani, Sahila Chaddha",Ajay Kashyap
6916,Thriller,Kaajal's husband has to join the army as war is about to start and Kaajal develops feelings for Manohar who saved her from an accident. There is also Maya and Kamini fighting for Manohar's ...                See full summary »,,Tadapti Jawani,"Poonam Dasgupta, Rajesh Sabharwal, Aman Sagar",Jaspal Neelam
6917,"Drama, Romance","Asha's jealousy gets the better of her when she finds out that the man she loves, Ashok, is showering his attention to other two girls, Vinny and Renu.",,Bewafai,"Rajesh Khanna, Rajinikanth, Tina Ambani, Padmini Kolhapure",R. Thyagaraajan
6918,"Comedy, Drama, Fantasy",A TV anchor keeps on blaming God for his unsuccessful life. God appears and he is given the God's Power for 10 days just to see how he manages to keep everyone happy.,,God Tussi Great Ho,"Amitabh Bachchan, Salman Khan, Priyanka Chopra Jonas, Anupam Kher",Rumi Jaffery
6919,Drama,Add a Plot,,Chameli,"Sherlyn Chopra, Avinash Dwivedi, Brijendra Kala, Sheetal Kale",Aaryaan Saxena
6920,Drama,"This is Goutam Ghose's speculative commentary on poverty and exploitation in rural Bihar, based on Bengali story Paathi.",,Paar,"Naseeruddin Shah, Shabana Azmi, Utpal Dutt, Anil Chatterjee",Goutam Ghose
6921,"Comedy, Musical, Romance",A spoiled rich girl on the run travels with a reporter looking for a news scoop.,,Chori Chori,"Nargis, Raj Kapoor, Gope, Master Bhagwan",Anant Thakur
6922,"Action, Comedy","Sonu, his sister, Sasha, and their friend, Akhil, live a poor lifestyle in India. While Sasha has given her heart to Akhil, he treats her as a close friend and confidant. Times get so tough...                See full summary »",,Super,"Nagarjuna Akkineni, Sonu Sood, Ayesha Takia, Anushka Shetty",Puri Jagannadh
6923,Drama,"In 1975 Mahim, Bombay, eunuch Tikku is the only child of yesteryear Bollywood actress Nazneen Begum, who has fallen upon hard times, is virtually destitute, and is dependent on Tikku, who ...                See full summary »",,Tamanna,"Paresh Rawal, Pooja Bhatt, Sharad S. Kapoor, Manoj Bajpayee",Mahesh Bhatt
6924,Horror,Ida and Albin are a happy couple. They set off to a cabin in the vast Swedish woodlands to have a fun holiday with their friends. But under the floorboards waits an evil from Sweden's dark past.,,Haunted Evil Dead,"Paresh Rawal, Pooja Bhatt, Sharad S. Kapoor, Manoj Bajpayee",Mahesh Bhatt
6925,"Action, Crime, Drama","Lal Singh (Amitabh Bachchan) lives with his mother (Nirupa Roy) in a small basti in Bombay and grows up with the poor and needy, who call him Lal Badshah. He's a helpful person dead-set ...                See full summary »",,Lal Baadshah,"Amitabh Bachchan, Manisha Koirala, Shilpa Shetty Kundra, Shakti Kapoor",K.C. Bokadia
6926,"Action, Thriller","Childless Malti is married to a honest man, Kailash Nath, who one day brings home a newborn baby boy and asks her to take care of him. Malti names the boy Ashok, and brings him up as her ...                See full summary »",,Teesri Aankh,"Dharmendra, Shatrughan Sinha, Zeenat Aman, Neetu Singh",Subodh Mukherji
6927,Drama,Tamanna Sahni (Shilpa Shetty) is a dedicated staff member of a top advertising agency; her ideas and designs have mainly contributed to the agency's success. She leaves for a college ...                See full summary »,,Phir Milenge,"Salman Khan, Abhishek Bachchan, Shilpa Shetty Kundra, Mita Vashisht",Revathi
6928,"Drama, Family","Asha and Arvind are in love but are not allowed to marry by her astrologer father. They start living together and plan to start a family without getting married, but fate intervenes.",,Karm,"Rajesh Khanna, Vidya Sinha, Shabana Azmi, Govardhan Asrani",B.R. Chopra
6929,Action,"An army major is transferred to a training camp after being blamed by the police for doing their job. However, when the law and order worsens, the police ask him to take over the nation's security.",,Millitary Raaj,"Mithun Chakraborty, Prem Chopra, Siddharth Dhawan, Irfan Kamal",Sanjay Sharma
6930,"Drama, Romance","Lovely Pinky Malhotra is a heart-breaker in the college where she studies, and has a number of young men who would lay down their lives for her. Amongst them are Sunil and Vicky. She is ...                See full summary »",,Jaan Tere Naam,"Ronit Roy, Farheen, Sulabha Deshpande, Vijay Arora",Deepak Balraj Vij
6931,Drama,The right of a woman to live with dignity has always been at crossroads with society's norms.,,Madam Chief Minister,"Richa Chadha, Manav Kaul, Saurabh Shukla, Akshay Oberoi",Subhash Kapoor
6932,"Action, Crime, Thriller",A police officer impersonates his murdered twin brother in order to bring his killers to justice.,,Sabse Bada Khiladi,"Akshay Kumar, Mamta Kulkarni, Mohnish Behl, Avtar Gill",Umesh Mehra
6933,Comedy,"Chaalbaaz In London is a Bollywood comedy movie, directed by Pankaj Parashar. The cast of Chaalbaaz In London includes Shraddha Kapoor",,Chaalbaaz in London,Shraddha Kapoor,Pankaj Parashar
6934,"Comedy, Drama, Romance",A villager pretends to be disabled in order to be near an NRI (Non-Resident Indian).,,Pyaar Diwana Hota Hai,Shraddha Kapoor,Pankaj Parashar
6935,"Action, Drama",A noble family presides over a small town in India.,,Bulandi,"Anil Kapoor, Rekha, Raveena Tandon, Rajinikanth",Rama Rao Tatineni
6936,"Action, Adventure, Drama",Add a Plot,,Bhakta Kannappa,"Nayanthara, Prabhas, Madhoo, Vishnu Manchu",Mukesh Kumar Singh
6937,"Action, Drama, Romance",Add a Plot,,Gaddaar,"Suniel Shetty, Harish, Sonali Bendre, Kiran Kumar",Raam Shetty
6938,"Comedy, Crime, Drama","Dependent on his elder brother, Bishan, Ganga and his wife, Rameshwari, are abused and asked to leave. They work hard, set up their own business, and soon become wealthy enough to even ...                See full summary »",,Maa Beta,"Manoj Kumar, Ameeta, Vijay Dutt, Sheila Ramani",Lekhraj Bhakri
6939,"Action, Crime, Drama","A policeman adopts the son of a bandit. A misunderstanding leads the officer's own biological son to believe he is the bandit's son and he takes up a secret life of crime; meanwhile, the adopted son becomes an officer of the law.",,Parvarish,"Shammi Kapoor, Amitabh Bachchan, Vinod Khanna, Neetu Singh",Manmohan Desai
6940,"Drama, Romance","Follows the relationship between two young minds, which took a unfavorable turn.",,Barkhaa,"Sara Loren, Priyanshu Chatterjee, Muntazir Ahmad, Taha Shah Badussha",Shadaab Mirza
6941,"Comedy, Drama","Ranjit, who makes fun of idiots, gets completely annoyed when he invites a tax inspector and a singer to his house.",,Bheja Fry,"Vinay Pathak, Rajat Kapoor, Sarika Thakur, Milind Soman",Sagar Ballary
6942,"Action, Crime, Drama","Hired to kill a nobleman, the assassin instead falls for the former's unstable wife.",,Saheb Biwi Aur Gangster,"Jimmy Shergill, Mahie Gill, Randeep Hooda, Shreya Narayan",Tigmanshu Dhulia
6943,"Musical, Romance","Nikhil, a simple naive young man, twice fails in his quest for love. Will he be third time lucky?",,Dil Maange More!!!,"Shahid Kapoor, Ayesha Takia, Tulip Joshi, Soha Ali Khan",Anant Mahadevan
6944,Comedy,"International Criminal Don, Supremo, alias Trikal Anna is concerned when he hears that two of his trusted lieutenants are at war with each other. So he decides to travel to India to settle ...                See full summary »",,Khullam Khulla Pyaar Karen,"Govinda, Preity G Zinta, Prem Chopra, Sadashiv Amrapurkar",Harmesh Malhotra
6945,Drama,The film revolves around the story of an ordinary rickshaw driver in Bihar who aspires and dreams of providing a maximum possible quality education to his son by making arrangements for him to study at a private English medium school.,,Pareeksha,"Adil Hussain, Priyanka Bose, Shourya Deep, Shubham","Prakash Jha, Saurabh Choubey"
6946,"Action, Comedy, Crime","Police Inspector Dayashanker Pandey is a slacker who wants a risk-free life; he's quite comfortable sharing tall tales and a desk job. But fate has other plans: whenever he goes outside, he...                See full summary »",,Gambler,"Govinda, Shilpa Shetty Kundra, Aditya Pancholi, Gulshan Grover",Dayal Nihalani
6947,"Comedy, Drama, Romance","Village-based Gopalnath (Pran) had always dreamed of becoming rich. On a visit to Bombay city, his dreams are fulfilled when he agrees to marry plain-looking Roopa, the sole heiress of a ...                See full summary »",,Humjoli,"Jeetendra, Leena Chandavarkar, Pran Sikand, Shashikala Jawalkar",Ramanna
6948,Horror,Shiva and his 4 friends are driving to Lonavala to have some good time but little did they know what awaits them,,Wrong Way,"Naveen Jagbir Sandhu, Shiva Dagar, Ankita Sharma, Gamya Wijayadasa","Devendra Rajput, Salil Sand"
6949,"Action, Drama","Ratan Kumar lives a middle-class existence with his wife, Pushpa and son, Sunder. When he is asked to commit a crime for Balram Singh, he does so, but decides to keep a suitcase full of ...                See full summary »",,Zabardast,"Sanjeev Kumar, Sunny Deol, Rajeev Kapoor, Jaya Prada",Nasir Hussain
6950,"Action, Drama","When an honest school teacher testifies in a rape case against a prominent businessman's son, he is psychologically tortured and forced to commit suicide. His young son then takes the law into his own hands in order to avenge his father.",,Salaakhen,"Sunny Deol, Raveena Tandon, Anupam Kher, Farida Jalal",Guddu Dhanoa
6951,"Crime, Thriller","Follows a detective looking into several crimes. As more crimes occur nearby, an unexpected event takes place.",,Shlok - The Desi Sherlock,"Hiten Patel, Bobby Deol, Lee Nicholas Harris, Karishma Kotak","Kunal Kohli, Laura Lake"
6952,"Action, Crime, Thriller",In Bombay a series of kidnapping takes place and many young women go missing. The police force is also not doing much to stop this until Arjun Verma is assigned to the case.During the ...                See full summary »,,Ravan Raaj: A True Story,"Mithun Chakraborty, Madhoo, Aditya Pancholi, Paresh Rawal",Rama Rao Tatineni
6953,"Drama, Family, Romance","Anmol is made to work as a maid in her own house by her step-mother and step-sisters. Later, a singer falls for her and decides to free her from her evil family.",,Anmol,"Maya Alagh, Sudha Chopra, Anil Dhawan, Sunil Dhawan",Ketan Desai
6954,"Action, Drama, Thriller",A fearless commando arrives home at the news of his brother's suicide until he starts to deeply investigate the reason behind his mysterious demise.,,Hebbuli,"V. Ravichandran, Sudeep, Amala Paul, Ravi Kishan","S Krishna, Rudresh M. Gowda"
6955,"Action, Crime, Drama","After the passing of her parents, a young heiress suffers abuse at the hands of her relatives.",,Dadagiri,"Rati Agnihotri, Rakesh Bedi, Mohan Choti, Sudhir Dalvi",Deepak S. Shivdasani
6956,"Comedy, Family, Musical",Add a Plot,,Tute Khwab,"Pramod Sharma, Dhanashri Rathod, Mahesh Kumar, Rajesh Pr Dadu",Pramod Sharma
6957,Thriller,"Four psychology students plant a camera in a church's confession box and come across a serial killer confessing to murder to the priest. Life takes a bizarre turn when they meet TONY, the serial killer and go on a murdering spree with him.",,Tony,"Mahesh Jilowa, Yashodhan Rana, Manoj Chandila, Dhruv Souran",Vipul K. Rawal
6958,"Drama, Thriller",Rajat Ronika and Alina hits a delivery boy on road and he dies on the spot. After some time door bell rings and an injured delivery boy enters in house stating he is late because someone hit him on road by a car and thrill starts.,,Rosh,"Allu Ashish, Mimoh Chakraborty, Vrajesh Hirjee, Jillian Kilroy",Jayveer Panghaal
6959,"Crime, Drama, Romance","High-school sweethearts Suraj Maali and Janvi Singh are well aware of their diverse socio-economic backgrounds and so, the young lovers opt for marriage by elopement. This, in turn, conjures up a storm the couple isn't prepared for.",,P Se Pyaar F Se Faraar,"Bhavesh Kumar, Jimmy Shergill, Kumud Mishra, Sanjay Mishra",Manoj Shidheshwari Tiwari
6960,Thriller,"A soft spoken, timid person changes drastically after he comes across his old friend .",,The Royal Bengal Tiger,"Jeet, Abir Chatterjee, Priyanka Sarkar, Shraddha Das",Rajesh Ganguly
6961,"Comedy, Drama, Musical","Abandoned as a child, Brahmachari lives in a mortgaged house with twelve young orphans. He saves a woman from dying and she changes his life forever. But first she has to deal with her own affairs.",,Brahmachari,"Shammi Kapoor, Rajshree, Pran Sikand, Mumtaz Askari",Bhappi Sonie
